match_no,stage,group,date,kickoff_local,kickoff_uk,kickoff_utc,home,away,home_code,away_code,city,country,stadium,team_data_status,source_status,bracket_slot_note
1,Group Stage,A,2026-06-11,13:00,20:00,19:00,Mexico,South Africa,MEX,RSA,Mexico City,Mexico,Estadio Azteca,known_teams,cross_checked,
2,Group Stage,A,2026-06-11,20:00,03:00,02:00,Korea Republic,Czech Republic,KOR,CZE,Zapopan,Mexico,Estadio Akron,known_teams,cross_checked,
3,Group Stage,B,2026-06-12,15:00,20:00,19:00,Canada,Bosnia & Herzegovina,CAN,BIH,Toronto,Canada,BMO Field,known_teams,cross_checked,
4,Group Stage,D,2026-06-12,18:00,02:00,01:00,United States,Paraguay,USA,PAR,Inglewood,United States,SoFi Stadium,known_teams,cross_checked,
5,Group Stage,C,2026-06-13,21:00,02:00,01:00,Haiti,Scotland,HAI,SCO,Foxborough,United States,Gillette Stadium,known_teams,cross_checked,
6,Group Stage,D,2026-06-13,21:00,05:00,04:00,Australia,Türkiye,AUS,TUR,Vancouver,Canada,BC Place,known_teams,cross_checked,
7,Group Stage,C,2026-06-13,18:00,23:00,22:00,Brazil,Morocco,BRA,MAR,East Rutherford,United States,MetLife Stadium,known_teams,cross_checked,
8,Group Stage,B,2026-06-13,12:00,20:00,19:00,Qatar,Switzerland,QAT,SUI,Santa Clara,United States,Levi's Stadium,known_teams,cross_checked,
9,Group Stage,E,2026-06-14,19:00,00:00,23:00,Côte d'Ivoire,Ecuador,CIV,ECU,Philadelphia,United States,Lincoln Financial Field,known_teams,cross_checked,
10,Group Stage,E,2026-06-14,12:00,18:00,17:00,Germany,Curaçao,GER,CUW,Houston,United States,NRG Stadium,known_teams,cross_checked,
11,Group Stage,F,2026-06-14,15:00,21:00,20:00,Netherlands,Japan,NED,JPN,Arlington,United States,AT&T Stadium,known_teams,cross_checked,
12,Group Stage,F,2026-06-14,20:00,03:00,02:00,Sweden,Tunisia,SWE,TUN,Guadalupe,Mexico,Estadio BBVA,known_teams,cross_checked,
13,Group Stage,H,2026-06-15,18:00,23:00,22:00,Saudi Arabia,Uruguay,KSA,URU,Miami Gardens,United States,Hard Rock Stadium,known_teams,cross_checked,
14,Group Stage,H,2026-06-15,12:00,17:00,16:00,Spain,Cape Verde,ESP,CPV,Atlanta,United States,Mercedes-Benz Stadium,known_teams,cross_checked,
15,Group Stage,G,2026-06-15,18:00,02:00,01:00,IR Iran,New Zealand,IRN,NZL,Inglewood,United States,SoFi Stadium,known_teams,cross_checked,
16,Group Stage,G,2026-06-15,12:00,20:00,19:00,Belgium,Egypt,BEL,EGY,Seattle,United States,Lumen Field,known_teams,cross_checked,
17,Group Stage,I,2026-06-16,15:00,20:00,19:00,France,Senegal,FRA,SEN,East Rutherford,United States,MetLife Stadium,known_teams,cross_checked,
18,Group Stage,I,2026-06-16,18:00,23:00,22:00,Iraq,Norway,IRQ,NOR,Foxborough,United States,Gillette Stadium,known_teams,cross_checked,
19,Group Stage,J,2026-06-16,20:00,02:00,01:00,Argentina,Algeria,ARG,ALG,Kansas City,United States,Arrowhead Stadium,known_teams,cross_checked,
20,Group Stage,J,2026-06-16,21:00,05:00,04:00,Austria,Jordan,AUT,JOR,Santa Clara,United States,Levi's Stadium,known_teams,cross_checked,
21,Group Stage,L,2026-06-17,19:00,00:00,23:00,Ghana,Panama,GHA,PAN,Toronto,Canada,BMO Field,known_teams,cross_checked,
22,Group Stage,L,2026-06-17,15:00,21:00,20:00,England,Croatia,ENG,CRO,Arlington,United States,AT&T Stadium,known_teams,cross_checked,
23,Group Stage,K,2026-06-17,12:00,18:00,17:00,Portugal,DR Congo,POR,COD,Houston,United States,NRG Stadium,known_teams,cross_checked,
24,Group Stage,K,2026-06-17,20:00,03:00,02:00,Uzbekistan,Colombia,UZB,COL,Mexico City,Mexico,Estadio Azteca,known_teams,cross_checked,
25,Group Stage,A,2026-06-18,12:00,17:00,16:00,Czech Republic,South Africa,CZE,RSA,Atlanta,United States,Mercedes-Benz Stadium,known_teams,cross_checked,
26,Group Stage,B,2026-06-18,12:00,20:00,19:00,Switzerland,Bosnia & Herzegovina,SUI,BIH,Inglewood,United States,SoFi Stadium,known_teams,cross_checked,
27,Group Stage,B,2026-06-18,15:00,23:00,22:00,Canada,Qatar,CAN,QAT,Vancouver,Canada,BC Place,known_teams,cross_checked,
28,Group Stage,A,2026-06-18,19:00,02:00,01:00,Mexico,Korea Republic,MEX,KOR,Zapopan,Mexico,Estadio Akron,known_teams,cross_checked,
29,Group Stage,C,2026-06-19,20:30,01:30,00:30,Brazil,Haiti,BRA,HAI,Philadelphia,United States,Lincoln Financial Field,known_teams,cross_checked,
30,Group Stage,C,2026-06-19,18:00,23:00,22:00,Scotland,Morocco,SCO,MAR,Foxborough,United States,Gillette Stadium,known_teams,cross_checked,
31,Group Stage,D,2026-06-19,20:00,04:00,03:00,Türkiye,Paraguay,TUR,PAR,Santa Clara,United States,Levi's Stadium,known_teams,cross_checked,
32,Group Stage,D,2026-06-19,12:00,20:00,19:00,United States,Australia,USA,AUS,Seattle,United States,Lumen Field,known_teams,cross_checked,
33,Group Stage,E,2026-06-20,16:00,21:00,20:00,Germany,Côte d'Ivoire,GER,CIV,Toronto,Canada,BMO Field,known_teams,cross_checked,
34,Group Stage,E,2026-06-20,19:00,01:00,00:00,Ecuador,Curaçao,ECU,CUW,Kansas City,United States,Arrowhead Stadium,known_teams,cross_checked,
35,Group Stage,F,2026-06-20,12:00,18:00,17:00,Netherlands,Sweden,NED,SWE,Houston,United States,NRG Stadium,known_teams,cross_checked,
36,Group Stage,F,2026-06-20,22:00,05:00,04:00,Tunisia,Japan,TUN,JPN,Guadalupe,Mexico,Estadio BBVA,known_teams,cross_checked,
37,Group Stage,H,2026-06-21,18:00,23:00,22:00,Uruguay,Cape Verde,URU,CPV,Miami Gardens,United States,Hard Rock Stadium,known_teams,cross_checked,
38,Group Stage,H,2026-06-21,12:00,17:00,16:00,Spain,Saudi Arabia,ESP,KSA,Atlanta,United States,Mercedes-Benz Stadium,known_teams,cross_checked,
39,Group Stage,G,2026-06-21,12:00,20:00,19:00,Belgium,IR Iran,BEL,IRN,Inglewood,United States,SoFi Stadium,known_teams,cross_checked,
40,Group Stage,G,2026-06-21,18:00,02:00,01:00,New Zealand,Egypt,NZL,EGY,Vancouver,Canada,BC Place,known_teams,cross_checked,
41,Group Stage,I,2026-06-22,20:00,01:00,00:00,Norway,Senegal,NOR,SEN,East Rutherford,United States,MetLife Stadium,known_teams,cross_checked,
42,Group Stage,I,2026-06-22,17:00,22:00,21:00,France,Iraq,FRA,IRQ,Philadelphia,United States,Lincoln Financial Field,known_teams,cross_checked,
43,Group Stage,J,2026-06-22,12:00,18:00,17:00,Argentina,Austria,ARG,AUT,Arlington,United States,AT&T Stadium,known_teams,cross_checked,
44,Group Stage,J,2026-06-22,20:00,04:00,03:00,Jordan,Algeria,JOR,ALG,Santa Clara,United States,Levi's Stadium,known_teams,cross_checked,
45,Group Stage,L,2026-06-23,16:00,21:00,20:00,England,Ghana,ENG,GHA,Foxborough,United States,Gillette Stadium,known_teams,cross_checked,
46,Group Stage,L,2026-06-23,19:00,00:00,23:00,Panama,Croatia,PAN,CRO,Toronto,Canada,BMO Field,known_teams,cross_checked,
47,Group Stage,K,2026-06-23,12:00,18:00,17:00,Portugal,Uzbekistan,POR,UZB,Houston,United States,NRG Stadium,known_teams,cross_checked,
48,Group Stage,K,2026-06-23,20:00,03:00,02:00,Colombia,DR Congo,COL,COD,Zapopan,Mexico,Estadio Akron,known_teams,cross_checked,
49,Group Stage,C,2026-06-24,18:00,23:00,22:00,Scotland,Brazil,SCO,BRA,Miami Gardens,United States,Hard Rock Stadium,known_teams,cross_checked,
50,Group Stage,C,2026-06-24,18:00,23:00,22:00,Morocco,Haiti,MAR,HAI,Atlanta,United States,Mercedes-Benz Stadium,known_teams,cross_checked,
51,Group Stage,B,2026-06-24,12:00,20:00,19:00,Switzerland,Canada,SUI,CAN,Vancouver,Canada,BC Place,known_teams,cross_checked,
52,Group Stage,B,2026-06-24,12:00,20:00,19:00,Bosnia & Herzegovina,Qatar,BIH,QAT,Seattle,United States,Lumen Field,known_teams,cross_checked,
53,Group Stage,A,2026-06-24,19:00,02:00,01:00,Czech Republic,Mexico,CZE,MEX,Mexico City,Mexico,Estadio Azteca,known_teams,cross_checked,
54,Group Stage,A,2026-06-24,19:00,02:00,01:00,South Africa,Korea Republic,RSA,KOR,Guadalupe,Mexico,Estadio BBVA,known_teams,cross_checked,
55,Group Stage,E,2026-06-25,16:00,21:00,20:00,Curaçao,Côte d'Ivoire,CUW,CIV,Philadelphia,United States,Lincoln Financial Field,known_teams,cross_checked,
56,Group Stage,E,2026-06-25,16:00,21:00,20:00,Ecuador,Germany,ECU,GER,East Rutherford,United States,MetLife Stadium,known_teams,cross_checked,
57,Group Stage,F,2026-06-25,18:00,00:00,23:00,Japan,Sweden,JPN,SWE,Arlington,United States,AT&T Stadium,known_teams,cross_checked,
58,Group Stage,F,2026-06-25,18:00,00:00,23:00,Tunisia,Netherlands,TUN,NED,Kansas City,United States,Arrowhead Stadium,known_teams,cross_checked,
59,Group Stage,D,2026-06-25,19:00,03:00,02:00,Türkiye,United States,TUR,USA,Inglewood,United States,SoFi Stadium,known_teams,cross_checked,
60,Group Stage,D,2026-06-25,19:00,03:00,02:00,Paraguay,Australia,PAR,AUS,Santa Clara,United States,Levi's Stadium,known_teams,cross_checked,
