team,team_code,shirt_no,position,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,caps,goals,source_status,parser_confidence
Czech Republic,CZE,1,GK,Matěj Kovář,Matěj,Kovář,KOVÁŘ,"May 17, 2000",PSV Eindhoven,,20,0,cross_checked,high
Czech Republic,CZE,2,DF,David Zima,David,Zima,ZIMA,"November 8, 2000",Slavia Prague,,25,1,cross_checked,high
Czech Republic,CZE,3,DF,Tomáš Holeš,Tomáš,Holeš,HOLEŠ,"March 31, 1993",Slavia Prague,,41,2,cross_checked,high
Czech Republic,CZE,4,DF,Robin Hranáč,Robin,Hranáč,HRANÁČ,"January 29, 2000",TSG Hoffenheim,,14,1,cross_checked,high
Czech Republic,CZE,5,DF,Vladimír Coufal,Vladimír,Coufal,COUFAL,"August 22, 1992",TSG Hoffenheim,,62,2,cross_checked,high
Czech Republic,CZE,6,DF,Štěpán Chaloupek,Štěpán,Chaloupek,CHALOUPEK,"March 8, 2003",Slavia Prague,,5,0,cross_checked,high
Czech Republic,CZE,7,DF,Ladislav Krejčí,Ladislav,Krejčí,KREJČÍ,"April 20, 1999",Wolverhampton Wanderers,,27,5,cross_checked,high
Czech Republic,CZE,8,MF,Vladimír Darida,Vladimír,Darida,DARIDA,"August 8, 1990",Hradec Králové,,79,8,cross_checked,high
Czech Republic,CZE,9,FW,Adam Hložek,Adam,Hložek,HLOŽEK,"July 25, 2002",TSG Hoffenheim,,43,5,cross_checked,high
Czech Republic,CZE,10,FW,Patrik Schick,Patrik,Schick,SCHICK,"January 24, 1996",Bayer Leverkusen,,53,26,cross_checked,high
Czech Republic,CZE,11,FW,Jan Kuchta,Jan,Kuchta,KUCHTA,"January 8, 1997",Sparta Prague,,31,3,cross_checked,high
Czech Republic,CZE,12,MF,Lukáš Červ,Lukáš,Červ,ČERV,"April 10, 2001",Viktoria Plzeň,,17,2,cross_checked,high
Czech Republic,CZE,13,FW,Mojmír Chytil,Mojmír,Chytil,CHYTIL,"April 29, 1999",Slavia Prague,,22,6,cross_checked,high
Czech Republic,CZE,14,DF,David Jurásek,David,Jurásek,JURÁSEK,"August 7, 2000",Slavia Prague,,18,1,cross_checked,high
Czech Republic,CZE,15,FW,Pavel Šulc,Pavel,Šulc,ŠULC,"December 29, 2000",Lyon,,21,5,cross_checked,high
