team,team_code,group,seed,coach,ranking_note,style_note,key_players_note,source_status
Mexico,MEX,A,1,,,,,derived_from_squad_only
Korea Republic,KOR,A,2,,,,,derived_from_squad_only
Czech Republic,CZE,A,3,,,,,derived_from_squad_only
South Africa,RSA,A,4,,,,,derived_from_squad_only
Canada,CAN,B,1,,,,,derived_from_squad_only
Bosnia & Herzegovina,BIH,B,2,,,,,derived_from_squad_only
Qatar,QAT,B,3,,,,,derived_from_squad_only
Switzerland,SUI,B,4,,,,,derived_from_squad_only
Brazil,BRA,C,1,,,,,derived_from_squad_only
Morocco,MAR,C,2,,,,,derived_from_squad_only
Haiti,HAI,C,3,,,,,derived_from_squad_only
Scotland,SCO,C,4,,,,,derived_from_squad_only
United States,USA,D,1,,,,,derived_from_squad_only
Paraguay,PAR,D,2,,,,,derived_from_squad_only
Australia,AUS,D,3,,,,,derived_from_squad_only
Türkiye,TUR,D,4,,,,,derived_from_squad_only
Germany,GER,E,1,,,,,derived_from_squad_only
Curaçao,CUW,E,2,,,,,derived_from_squad_only
Côte d'Ivoire,CIV,E,3,,,,,derived_from_squad_only
Ecuador,ECU,E,4,,,,,derived_from_squad_only
Netherlands,NED,F,1,,,,,derived_from_squad_only
Japan,JPN,F,2,,,,,derived_from_squad_only
Sweden,SWE,F,3,,,,,derived_from_squad_only
Tunisia,TUN,F,4,,,,,derived_from_squad_only
Belgium,BEL,G,1,,,,,derived_from_squad_only
Egypt,EGY,G,2,,,,,derived_from_squad_only
IR Iran,IRN,G,3,,,,,derived_from_squad_only
New Zealand,NZL,G,4,,,,,derived_from_squad_only
Spain,ESP,H,1,,,,,derived_from_squad_only
Cape Verde,CPV,H,2,,,,,derived_from_squad_only
Saudi Arabia,KSA,H,3,,,,,derived_from_squad_only
Uruguay,URU,H,4,,,,,derived_from_squad_only
France,FRA,I,1,,,,,derived_from_squad_only
Senegal,SEN,I,2,,,,,derived_from_squad_only
Iraq,IRQ,I,3,,,,,derived_from_squad_only
Norway,NOR,I,4,,,,,derived_from_squad_only
Argentina,ARG,J,1,,,,,derived_from_squad_only
Algeria,ALG,J,2,,,,,derived_from_squad_only
Austria,AUT,J,3,,,,,derived_from_squad_only
Jordan,JOR,J,4,,,,,derived_from_squad_only
Portugal,POR,K,1,,,,,derived_from_squad_only
DR Congo,COD,K,2,,,,,derived_from_squad_only
Uzbekistan,UZB,K,3,,,,,derived_from_squad_only
Colombia,COL,K,4,,,,,derived_from_squad_only
England,ENG,L,1,,,,,derived_from_squad_only
Croatia,CRO,L,2,,,,,derived_from_squad_only
Ghana,GHA,L,3,,,,,derived_from_squad_only
Panama,PAN,L,4,,,,,derived_from_squad_only
